Date,1_or_more_total
2020-12-14,11608
2020-12-15,56635
2020-12-16,206646
2020-12-17,463769
2020-12-18,856788
2020-12-19,1022137
2020-12-20,1120208
2020-12-21,1483092
2020-12-22,1911006
2020-12-23,2451882
2020-12-24,2635816
2020-12-25,2647527
2020-12-26,2779468
2020-12-27,2867669
2020-12-28,3413333
2020-12-29,4079278
2020-12-30,4859677
2020-12-31,5252207
2021-01-01,5287771
2021-01-02,5520145
2021-01-03,5636150
2021-01-04,6190292
2021-01-05,6862328
2021-01-06,7629810
2021-01-07,8434372
2021-01-08,9222376
2021-01-09,9569177
2021-01-10,9730190
2021-01-11,10399957
2021-01-12,11244746
2021-01-13,12206170
2021-01-14,13288993
2021-01-15,14330078
2021-01-16,14863157
2021-01-17,15101481
2021-01-18,15684612
2021-01-19,16588750
2021-01-23,20915501
2021-01-24,21193880
2021-01-25,21987388
2021-01-30,27384509
2021-01-31,27683360
2021-02-01,28351895
2021-02-06,33631043
2021-02-07,33873053
2021-02-13,38292270
2021-02-14,38292270
2021-01-20,17683619
2021-01-21,18926525
2021-01-22,20220393
2021-01-26,22982219
2021-01-27,24145209
2021-01-28,25414828
2021-01-29,26680201
2021-02-02,29214824
2021-02-03,30371450
2021-02-04,31635882
2021-02-05,32864054
2021-02-08,34619747
2021-02-09,35517590
2021-02-10,36527818
2021-02-11,37496409
2021-02-12,38240184
